Constant Name,Symbol,Value,Unit,Definition,Usage,Likely MCQ
Speed of Light in Vacuum,$c$,$3.00 \times 10^8$,$m/s$,"The speed at which light travels in a vacuum; a universal constant.","Used in Einstein's theory of relativity ($E=mc^2$) and in electromagnetic wave propagation (e.g., optics and modern physics).","Q: What is the speed of light in vacuum? A) $3.00 \times 10^6$ $m/s$ B) $3.00 \times 10^7$ $m/s$ C) $3.00 \times 10^8$ $m/s$ D) $3.00 \times 10^9$ $m/s$ (Ans: C)"
Gravitational Constant,$G$,$6.67 \times 10^{-11}$,$N m^2/kg^2$,"The constant of proportionality in Newton’s law of gravitation.","Used to calculate gravitational force between two masses ($F = \frac{GMm}{r^2}$), such as in planetary motion and orbits.","Q: The gravitational constant $G$ has the unit: A) $N kg^2/m^2$ B) $N m^2/kg^2$ C) $m/s^2$ D) $kg m/s^2$ (Ans: B)"
Planck’s Constant,$h$,$6.63 \times 10^{-34}$,$J s$,"Relates the energy of a photon to its frequency ($E = h\nu$).","Used in quantum mechanics, photoelectric effect, and blackbody radiation.","Q: The energy of a photon with frequency $5 \times 10^{14}$ Hz is ($h = 6.63 \times 10^{-34}$ $J s$): A) $3.315 \times 10^{-19}$ $J$ B) $1.326 \times 10^{-19}$ $J$ C) $6.63 \times 10^{-19}$ $J$ D) $2.652 \times 10^{-19}$ $J$ (Ans: A)"
Boltzmann Constant,$k$,$1.38 \times 10^{-23}$,$J/K$,"Relates the average kinetic energy of particles in a gas with temperature ($KE = \frac{3}{2}kT$).","Used in kinetic theory of gases and thermodynamics (e.g., ideal gas law in terms of $k$: $PV = NkT$).","Q: The Boltzmann constant $k$ has the dimensions: A) $[M L^2 T^{-2} K^{-1}]$ B) $[M L^2 T^{-2}]$ C) $[M L^2 T^{-1} K^{-1}]$ D) $[M L T^{-2} K^{-1}]$ (Ans: A)"
Avogadro’s Number,$N_A$,$6.022 \times 10^{23}$,$mol^{-1}$,"The number of particles (atoms, molecules) in one mole of a substance.","Used in stoichiometry, gas laws (e.g., $PV = nRT$ where $n = N/N_A$), and to calculate the number of particles in a sample.","Q: How many molecules are there in 2 moles of a gas? ($N_A = 6.022 \times 10^{23}$ $mol^{-1}$) A) $1.2044 \times 10^{24}$ B) $6.022 \times 10^{23}$ C) $3.011 \times 10^{23}$ D) $1.2044 \times 10^{23}$ (Ans: A)"
Universal Gas Constant,$R$,$8.31$,$J/(mol K)$,"Relates the energy of a gas to its temperature and amount ($PV = nRT$).","Used in the ideal gas law and thermodynamics (e.g., work done by a gas).","Q: The value of the universal gas constant $R$ is: A) $8.31$ $J/(mol K)$ B) $1.38 \times 10^{-23}$ $J/K$ C) $6.67 \times 10^{-11}$ $N m^2/kg^2$ D) $9.8$ $m/s^2$ (Ans: A)"
Elementary Charge,$e$,$1.60 \times 10^{-19}$,$C$,"The charge of a single electron or proton.","Used in electrostatics (e.g., Coulomb’s law, $F = k \frac{q_1 q_2}{r^2}$) and current electricity ($I = neAv_d$).","Q: The charge of an electron is: A) $1.60 \times 10^{-19}$ $C$ B) $1.60 \times 10^{-18}$ $C$ C) $9.11 \times 10^{-31}$ $C$ D) $3.20 \times 10^{-19}$ $C$ (Ans: A)"
Permittivity of Free Space,$\varepsilon_0$,$8.85 \times 10^{-12}$,$F/m$,"Relates electric field to charge in a vacuum ($E = \frac{q}{4\pi\varepsilon_0 r^2}$).","Used in Coulomb’s law ($F = \frac{1}{4\pi\varepsilon_0} \frac{q_1 q_2}{r^2}$) and capacitance ($C = \varepsilon_0 A/d$).","Q: The unit of permittivity of free space $\varepsilon_0$ is: A) $F/m$ B) $C^2/(N m^2)$ C) $N m^2/C^2$ D) Both A and B (Ans: D)"
Permeability of Free Space,$\mu_0$,$4\pi \times 10^{-7}$,$T m/A$,"Relates magnetic field to current in a vacuum ($B = \frac{\mu_0 I}{2\pi r}$).","Used in magnetism (e.g., Biot-Savart law, Ampere’s law) and electromagnetic waves ($c = \frac{1}{\sqrt{\mu_0 \varepsilon_0}}$).","Q: The permeability of free space $\mu_0$ is: A) $4\pi \times 10^{-7}$ $T m/A$ B) $8.85 \times 10^{-12}$ $F/m$ C) $1.60 \times 10^{-19}$ $T m/A$ D) $6.63 \times 10^{-34}$ $T m/A$ (Ans: A)"
Mass of Electron,$m_e$,$9.11 \times 10^{-31}$,$kg$,"The mass of an electron.","Used in modern physics (e.g., electron in a magnetic field, $F = qvB$) and photoelectric effect calculations.","Q: The mass of an electron is approximately: A) $9.11 \times 10^{-31}$ $kg$ B) $1.67 \times 10^{-27}$ $kg$ C) $1.60 \times 10^{-19}$ $kg$ D) $3.00 \times 10^8$ $kg$ (Ans: A)"
