Entity,Formula,Dimensions,Tip/Hack,Likely MCQ
Length,"-",$[L]$,"Think 'L' for length—it's the base dimension for distance.","Q: The dimension of length is: A) $[L]$ B) $[M]$ C) $[T]$ D) $[L T^{-1}]$ (Ans: A)"
Mass,"-",$[M]$,"Think 'M' for mass—it's the base dimension for weight.","Q: The dimension of mass is: A) $[M]$ B) $[L]$ C) $[T]$ D) $[M L T^{-2}]$ (Ans: A)"
Time,"-",$[T]$,"Think 'T' for time—it's the base dimension for duration.","Q: The dimension of time is: A) $[T]$ B) $[L]$ C) $[M]$ D) $[L T^{-1}]$ (Ans: A)"
Velocity,"$v = \frac{s}{t}$",$[L T^{-1}]$,"Velocity is distance/time, so $[L]/[T] = [L T^{-1}]$. Think 'speedy length'—length per time.","Q: The dimensions of velocity are: A) $[L T^{-1}]$ B) $[L T^{-2}]$ C) $[L^2 T^{-1}]$ D) $[T^{-1}]$ (Ans: A)"
Acceleration,"$a = \frac{v}{t}$",$[L T^{-2}]$,"Acceleration is velocity/time, so $[L T^{-1}]/[T] = [L T^{-2}]$. Think 'fast change'—velocity changes over time.","Q: The dimensions of acceleration are: A) $[L T^{-1}]$ B) $[L T^{-2}]$ C) $[L T^{-3}]$ D) $[T^{-2}]$ (Ans: B)"
Force,"$F = ma$",$[M L T^{-2}]$,"Force is mass × acceleration, so $[M] \times [L T^{-2}] = [M L T^{-2}]$. Think 'push hard'—mass pushes with acceleration.","Q: The dimensions of force are: A) $[M L T^{-1}]$ B) $[M L T^{-2}]$ C) $[M L^2 T^{-2}]$ D) $[M T^{-2}]$ (Ans: B)"
Work,"$E = Fd$",$[M L^2 T^{-2}]$,"Work is force × distance, so $[M L T^{-2}] \times [L] = [M L^2 T^{-2}]$. Think 'work hard'—force over a distance.","Q: The dimensions of work are: A) $[M L^2 T^{-2}]$ B) $[M L T^{-2}]$ C) $[M L^2 T^{-1}]$ D) $[M L T^{-1}]$ (Ans: A)"
Energy,"$E$",$[M L^2 T^{-2}]$,"Energy (kinetic, potential) has the same dimensions as work. Think 'energetic work'—same as work.","Q: The dimensions of energy are: A) $[M L^2 T^{-2}]$ B) $[M L T^{-2}]$ C) $[M L^2 T^{-1}]$ D) $[M T^{-2}]$ (Ans: A)"
Power,"$P = \frac{E}{t}$",$[M L^2 T^{-3}]$,"Power is energy/time, so $[M L^2 T^{-2}]/[T] = [M L^2 T^{-3}]$. Think 'powerful speed'—energy delivered fast.","Q: The dimensions of power are: A) $[M L^2 T^{-2}]$ B) $[M L^2 T^{-3}]$ C) $[M L T^{-3}]$ D) $[M L^2 T^{-1}]$ (Ans: B)"
Pressure,"$P = \frac{F}{A}$",$[M L^{-1} T^{-2}]$,"Pressure is force/area, so $[M L T^{-2}]/[L^2] = [M L^{-1} T^{-2}]$. Think 'press down'—force spread over area.","Q: The dimensions of pressure are: A) $[M L^{-1} T^{-2}]$ B) $[M L T^{-2}]$ C) $[M L^2 T^{-2}]$ D) $[M T^{-2}]$ (Ans: A)"
